Session Name,Start Time,End Time,Description,Speakers
Meditation/Mindfulness,7:00 AM,8:00 AM ,,
OSD Workshops: Experience Open Source - GitHub 101: An Intro to Git and GitHub for Newbies Session 1,8:30 AM,9:00 AM ,"An Intro to Git and GitHub. If you have never used a code version control system, then this is the workshop for you! We will go over the basics of creating and cloning a repository, creating a branch, committing and pushing code and finalize with creating a pull request. Learn everything you need to know to get started with using GitHub in your next job or in your first Open Source contribution.",
Keynote,9:00 AM,9:30 AM ,,
Featured Session,9:40 AM,10:10 AM ,,
Home Automation and Inclusive Design,9:40 AM,10:10 AM ,"Automation and inclusive design has empowered historically underserved populations via technology, but also opened the door for abuse. We are in a new era of automation with the introduction of ambient computing in the home - and although the opportunities for inclusive design and home automation are that much greater, we have a responsibility to consider the externalities of our work.",
How to Build and Maintain an ERG: Operational Strategies for Success,9:40 AM,10:10 AM ,"Do you want to form an Employee Resource Group but don't know where to begin? Do you lead an ERG that is struggling to succeed, especially with the challenges of COVID-19? We will present a model created by a group of women technologists who were looking to form a community at a large corporation. Six years later, it's a thriving ERG. We will share best practices, challenges, and future outlook.",
User Research Cannot Exist Without Study Design,9:40 AM,10:10 AM ,"User research is more than just the data collection method--A/B testing, interviews, and usability testing are only half the story. This talk explores the less obvious half: study design, the framework for data collection. Without study design, we are not delivering people-relevant, high-impact findings. Listeners will learn six takeaways that they can start applying to their research tomorrow.",
Open Source Day: Hackathon & Workshops,9:40 AM,5:30 PM ,"Open Source Day (OSD) is an all-day hackathon (including workshops) at vGHC, in which participants of all skill levels learn about Open Source while contributing to projects designed to solve real world problems. The goal of OSD is to promote Open Source contributions by women in tech. New to Open Source? Don’t worry! You will not be alone; We will guide you through finding issues that are suited for your skill level and there will be mentors ready to help you. Join us to experience Open Source together! CLICK HERE TO REGISTER FOR A PROJECT!",
Celebrating Black Women in Tech Roles Networking Sponsored by Cisco,9:40 AM,10:40 AM ,"Promote and support Black women technologists from industry, government, and academia. This session gives Black women a chance to network with one another, connect with strong role models, and celebrate their accomplishments.",
Maker Magic: Design a Blueprint for Community Tech Empowerment,9:40 AM,10:40 AM ,"Academics are increasingly researching the gap in technology access between communities. Drawing best practices from a Morgan Stanley program, this Workshop will teach participants how to unveil the magic behind technology to young people with limited access to computer science education through Adafruit CPX. Attendees will walk away with a Maker workshop blueprint for youth in their communities.",
OSD Workshops: Experience Open Source - Make Your First Open Source Contribution,10:00 AM,10:50 AM ,"How do you get started with Open Source? If you’ve never contributed to an open source project before, making your first contribution can be intimidating. Not to mention, it can be difficult to know where to begin. Join us to learn everything you need to know about the Open Source community and how to make your first contribution! Hear stories from women in engineering about their open source involvement and contributions.",
Becoming Visible: Increasing Engagement & Talent Pipelines for Women of Color in Tech,10:10 AM,10:40 AM ,"Women of color have a unique disadvantage when it comes to building and finding community in the tech industry.Learn how to activate and energize underrepresented groups to lead the organization toward human connection, motivation, and belonging. By increasing visibility and creating an equitable framework, women of color will not only be engaged but can thrive.",
Swoop: Developing an Animation Tool for an Invisible Character,10:10 AM,10:40 AM ,"Swoop is a motion path tool developed to animate Gale, an invisible character in Walt Disney Animation Studios’ “Frozen 2”, by constructing the path on which she travels. We redesigned even the simplest features to ensure intuitive and predictable behavior, providing powerful editing features for the path’s shape and timing - empowering our artists to quickly experiment with Gale’s performance.",
"User, Company, and Government Strategies for Preserving Civil Discourse on Social Media",10:10 AM,10:40 AM ,"I examine content moderation strategies employed by the three spheres of control over social media discourse, including citizen, corporation, and government. Implications for regulating interpersonal privacy violations and civil discourse on large-scale social issues of diversity are discussed.",
Manage your Unknown Unknowns: How to Lead with Outcomes to Manage Uncertainty in Product,10:10 AM,10:40 AM ,"Are features at the center of your product planning process? Then you are setting up your product team to fail. Building products is inherently complex and filled with uncertainty. Outcome-based planning can help manage that uncertainty. Learn the difference between outputs and outcomes, how to transition from focusing on outputs to focusing on outcomes and better manage uncertainty in product.",
"Inhale Courage, Exhale Fear",10:10 AM,10:40 AM ,"Doing the right thing. Speaking out against injustice and inequity. Showcasing our value at work. Managing careers as we lead our families through a global pandemic. Today's call for courage is felt in every aspect of our lives. Learn the origins of fear, the fear myth that holds us back at work, and strategies to break free of its grip to do the things we long to do ""if only we had the courage.""",
