Session Name,Start Time,End Time,Description,Speakers
Liquid Metal Yoga,7:00 AM,8:00 AM ,"Move your body, quiet your mind and relieve some stress with yoga. Join Liquid Metal Yoga for a 30 minute vinyasa practice as we flow from one posture to the next. Leave feeling calm yet energized and ready to enjoy your vGHC experience",
Keynote,9:00 AM,9:30 AM ,,
The Predictive Modeling Cooking Show,9:40 AM,10:40 AM ,"Want to learn about predictive modeling? Watch as we compete to solve a real-world problem in the guise of a cooking competition. Instead of cooking up pastries, our chefs will be whipping up models and peppering in current events. You'll learn modeling concepts including data scrubbing, the basic steps to build a model, and measuring the effectiveness of a model. Come play along with our teams!",
PitcHER Competition,9:40 AM,12:20 PM ,,
Senior Leadership Summit Featured Session,9:40 AM,10:10 AM ,,
Featured Session,9:40 AM,10:10 AM ,,
"""Bonjour! Wie geht es dir? Dhanyawaad"" - How Multilingual Is Your NLP Model?",9:40 AM,10:10 AM ,"Natural language is constantly evolving. Roughly, 50% of the world speaks two or more languages. This comes as a challenge to Natural Language (NL) systems because conventional models are trained to understand large monolingual corpus. In this talk, we'll focus on building inclusive multilingual models, especially novel approaches to understand underrepresented languages and transliterated text.",
Entry Level Networking Session Sponsored by Avalara,9:40 AM,10:10 AM ,Entry Level Networking Session Sponsored by Avalara,
Develop Your Product Management Toolkit in 60 Minutes,9:40 AM,10:40 AM ,"Broaden your career impact by learning product management skills to supplement your engineering background. Join us in this collaborative, virtual workshop to understand the product management role and stages involved with growing a product from idea to fruition. Leave the workshop with new skills, innovative ideas, and an understanding of working in a cross-functional, inclusive environment!",
Re-engineering Inside the Lines: How to Innovate Within a Legacy Stack,9:40 AM,10:10 AM ,"When thinking about what excites engineers, working on legacy stacks rarely comes to mind. Most of us want to work on the newest technologies. Why can't we do both? Come learn about how to effectively re-engineer your technology stack. Not only will you get to work on frameworks you enjoy and help retain engineers, you'll also help reduce cost and risk associated with using older technologies.",
How Kubernetes Operators can Rescue DevSecOps in midst of a Pandemic?,10:10 AM,10:40 AM ,"Covid19 clearly brought forward importance of hosting and managing applications in Cloud. As enterprises move towards Cloud, technologies like Containers & Kubernetes are at the forefront. Open-source project Operator supported by worldwide developer community allows for packaging, deploying and managing Kubernetes apps. Join us to explore how Operators can simplify the life of DevSecOps in Cloud.",
BRAVE: a Method for Successful Difficult Conversations,10:10 AM,10:40 AM ,"In the light of the 2020 events, being able to speak up and articulate our opinions has become a critical skill. Difficult conversations make it harder to push our message whether it is to communicate on a sensitive topic, ask for a raise or break some tough news. Join us to learn a pragmatic method to prepare difficult conversations in order to maximize our impact and success.",
Senior Leadership Summit Presentation,10:10 AM,10:40 AM ,"Now, more than ever, leaders are faced with making quick decisions that will deliver results and drive change to meet business demands. Leaders have had to quickly pivot to meet the demands of work in a virtual environment while considering the long-lasting impacts for the business and engaging teams to work effectively and efficiently. Join us for the Senior leadership Summit at Virtual GHC where we will explore effective leadership in a virtual world.",
Abie Award Series: A Real Conversation About What it Means to be a Female CEO,10:10 AM,10:40 AM ,"Join the 2020 Technology Entrepreneurship Abie Award Winner, Tracy Young, as she shares the candid and raw account of a startup Founder and CEO's journey. Tracy Young will talk about how she learned to embrace her female identity, and share her experience leading a high growth startup while also going through infertility, pregnancy, birth, and miscarriage.",
Text Generation: Should Machines Reflect the Way Humans Interact in Society?,10:10 AM,10:40 AM ,"Users of smartphones and smart home systems expect their devices to be aware of their situation, and to interact with them naturally. This presentation identifies three aspects of human communication: style, content and transfer; and how they can be controlled to make machines sound more like humans. This talk further explores the broader ethical impact of controllable text generation.",
Developing Live View for Google Maps: A Lesson in Working With Emerging Technologies,10:10 AM,10:40 AM ,"Exploring a new city on foot can be hard, but what if directions and information about whatís around you could be overlaid on the real world? Google Maps developed Live View, its first AR capability, to help people do just that. After 150+ prototypes and finally bringing AR to life in Google Maps, we wanted to share our learnings for developing and designing in an ambiguous and nascent space.",
Who Tells Your Story - How Technology Can Help Amplify Underrepresented Voices,10:10 AM,10:40 AM ,"Who tells your story matters. For too long, knowledge has been written by those in power. Open platforms like Wikipedia change the traditional paradigm of how knowledge is written. In this talk, youíll learn about how technology can help us create a history that is more diverse, more representative, and ultimately more accurate - and how you can get involved.",
