Session Name,Start Time,End Time,Description,Speakers
Poster Session,9/29/20—10/3/209:40 AM,1:00 PM,"Grace Hopper   Celebration hosts mind-expanding technical poster sessions. It’s the perfect   opportunity to informally present your research to GHC attendees and experts   in your field. Designed to help you solicit constructive feedback, the poster   session lends itself to those who are still exploring an idea and have not   fully developed their results into a completed paper. To preview the poster sessions, click here.","[{'name': 'Ms. Poonam Tathavadkar', 'title': 'Software Engineer 2', 'company': 'Intuit'}, {'name': 'Mrs. Laura Katz', 'title': 'Lead UX Designer', 'company': 'Amazon'}, {'name': 'Miss Saumya Pathak', 'title': 'Software Engineer  III', 'company': 'Google'}, {'name': 'None Giselle Font', 'title': 'Software Engineer, Site Reliability Engineering', 'company': 'Loon LLC'}, {'name': 'Farzana Sedillo', 'title': 'Global Experience Design Director', 'company': 'IBM'}, {'name': 'Amy Vargas', 'title': 'Solutions Software Engineer', 'company': 'NetApp, Inc.'}, {'name': 'Tracy Cummins', 'title': 'Solutions Software Engineer', 'company': 'NetApp, Inc.'}, {'name': 'Ms. Ella (Xiaoyu) Wan', 'title': 'Research Assistant', 'company': 'University of Rochester'}, {'name': 'Ms. Xiaofei Zhou', 'title': 'Research Assistant', 'company': 'University of Rochester'}, {'name': 'Lucy Tang', 'title': 'Aerospace Software Engineer', 'company': 'Metis Technology Inc'}, {'name': 'Dr. Tamilla Triantoro', 'title': 'Assistant Professor', 'company': 'Quinnipiac University'}, {'name': 'Miss Claire Goetschel', 'title': 'UX Designer', 'company': 'Microsoft'}, {'name': 'Niveditha Kalavakonda', 'title': 'Ph.D Student', 'company': 'University of Washington - Seattle'}, {'name': 'Kate Walton', 'title': 'Group User Experience Lead', 'company': 'ExxonMobil'}, {'name': 'Ms. Nilanjana Das', 'title': 'Senior User Assistance Developer', 'company': 'SAP Labs India'}, {'name': 'Ms. Marianne Macgregor', 'title': 'User Assistance Development Architect', 'company': 'SAP SE'}, {'name': 'Ms. Padmavathi Sudarsan', 'title': 'CTO Partner, Bell Labs Fellow', 'company': 'Bell Labs, Nokia'}, {'name': 'Anne Lee', 'title': 'CTO Partner, Bell Labs Fellow', 'company': 'Bell Labs, Nokia'}, {'name': 'Ms. Ritika Kagale', 'title': 'Product Manager', 'company': 'Verizon'}, {'name': 'Mrs. Eliza Jonauskyte', 'title': 'Software Engineer', 'company': 'Bloomberg'}, {'name': 'Mr. Cristian Chirac', 'title': 'Software Engineer', 'company': 'Bloomberg'}, {'name': 'Katrina Ezis', 'title': 'Software Engineer', 'company': 'West Monroe Partners'}, {'name': 'Miss Preet Kaur', 'title': 'Senior Manager, Technology', 'company': 'Publics Sapient'}, {'name': 'Mrs. Abhiruchi Dakshinkar', 'title': 'Sr Senior Wi-Fi Software Engineer', 'company': 'HPE'}, {'name': 'Shubham Saloni', 'title': 'Wi-Fi Software Engineer', 'company': 'HPE'}, {'name': 'Dr. Ying Zheng', 'title': 'Co-Founder and CTO', 'company': 'AiFi, Inc.'}, {'name': 'Ms. Annie Ke', 'title': 'Software Engineer', 'company': 'Coinbase'}, {'name': 'Minh Chau Do', 'title': 'Student', 'company': 'Worcester Polytechnic Institute'}, {'name': 'Madeline Burbage', 'title': 'Research Assistant', 'company': 'Williams College CS Department'}, {'name': 'Mrs. Rezvan Mahdavi Hezaveh', 'title': 'PhD student', 'company': 'North Carolina State University'}, {'name': 'Miss Jamalia Sultana', 'title': 'Student', 'company': 'Bangladesh University of Engineering & Technology'}, {'name': 'Ms. Unnati Parekh', 'title': 'Student', 'company': 'Northwestern University'}, {'name': 'Rachneet Kaur', 'title': 'PhD Student', 'company': 'University of Illinois - Urbana-Champaign'}, {'name': 'Miss Sheila Maricela Pinto Caceres', 'title': 'M.Sc.', 'company': 'The University of Sydney'}, {'name': 'Nhi Le', 'title': 'Undergraduate Student', 'company': 'University of Houston - Downtown'}, {'name': 'None Maryam Ramezanzadehmoghadam', 'title': 'MD', 'company': 'Florida A & M University'}, {'name': 'Ms. Uma R. Smith', 'title': 'Software Engineer', 'company': 'Walmart'}, {'name': 'Soha Rostaminia', 'title': 'Research Assistant', 'company': 'University of Massachusetts - Amherst'}, {'name': 'Ms. Tasmia Shahriar', 'title': 'Graduate Research Assistant', 'company': 'North Carolina State University'}, {'name': 'Nishitha Kakani', 'title': 'VP, Senior Data Scientist', 'company': 'Bank of America'}, {'name': 'Rebecca Li', 'title': 'PhD Candidate / Research Assistant', 'company': 'University of Houston'}, {'name': 'Nhi Pham', 'title': 'Student', 'company': 'New York University'}, {'name': 'Dr. Yaqi Xue', 'title': 'Software Engineer', 'company': 'Bloomberg'}, {'name': 'Ms. Saba Dadsetan', 'title': 'PhD Student', 'company': 'University of Pittsburgh'}, {'name': 'Maia Powell', 'title': 'Graduate Student', 'company': 'University of California, Merced'}, {'name': 'Miss Saria Goudarzvand', 'title': 'Research Assistant', 'company': 'University of Missouri - Kansas City'}, {'name': 'Miss Ye Lin', 'title': 'Ph.D. Candidate', 'company': 'Boston University'}, {'name': 'Syrine Belakaria', 'title': 'PhD Student', 'company': 'Washington State University'}, {'name': 'Piper Wolters', 'title': 'Student', 'company': 'Western Washington University'}, {'name': 'Dr. Han Liu', 'title': 'AI Scientist', 'company': 'Electronic Arts'}, {'name': 'Maryam Daniali', 'title': 'PhD Candidate', 'company': 'Drexel University'}, {'name': 'Miss Ameesha Saxena', 'title': 'Student', 'company': 'University of Illinois - Chicago'}, {'name': 'Miss shiva ebrahimi', 'title': 'Teaching Assistant', 'company': 'University of North Texas'}, {'name': 'Dr. Ramina Ghods', 'title': 'Postdoctoral fellow', 'company': 'Carnegie Mellon University'}, {'name': 'Michaela Murr', 'title': 'Technical Project Manager', 'company': 'Bloomberg'}, {'name': 'Ms. Mandana Saebi', 'title': 'Graduate Research Assistant', 'company': 'University of Notre Dame'}, {'name': 'Mahshid Shahmohammadian', 'title': 'Research Assistant - PhD Candidate', 'company': 'Drexel University'}, {'name': 'Cailing Dong', 'title': 'Principal Data Scientist', 'company': 'Capital One'}, {'name': 'Miss Levi Kapllani', 'title': 'Student', 'company': 'Drexel University'}, {'name': 'Xi Yang', 'title': 'Ph.D. student', 'company': 'North Carolina State University'}, {'name': 'Ms. Nastaran Emaminejad', 'title': 'Graduate Student Researcher', 'company': 'University of California, Los Angeles (UCLA)'}, {'name': 'Miss Jarin Musarrat', 'title': 'Student', 'company': 'Saginaw Valley State University'}, {'name': 'Abhilasha Kumar', 'title': 'Graduate Student', 'company': 'Washington University in St. Louis'}, {'name': 'None Jieun Jang', 'title': 'Principal Member of Technical Staff', 'company': 'Oracle'}, {'name': 'Megan Dolan', 'title': 'Graduate Researcher', 'company': 'Washington State University'}, {'name': 'Ms. Mahnaz Behroozi', 'title': 'Research Assistant', 'company': 'North Carolina State University'}, {'name': 'Daisy Reyes', 'title': 'Undergraduate Research Assistant', 'company': 'Loyola University Chicago'}, {'name': 'Mahal Schroeder', 'title': 'Student Athlete and Undergraduate Researcher', 'company': 'University of Illinois - Chicago'}, {'name': 'Ms. Ahana Roy Choudhury', 'title': 'M.S.', 'company': 'Florida State University'}, {'name': 'Ms. Masoomeh Jasemi', 'title': 'Research Scholar', 'company': 'University of California, Irvine (UCI)'}, {'name': 'Brittany DePoi', 'title': 'IT Principal Senior Staff Engineer', 'company': 'Cigna'}, {'name': 'Miss Pushpalatha KR', 'title': 'Systems Software Specialist', 'company': 'Hewlett Packard Inc'}, {'name': 'Keren Fuentes', 'title': 'Software Engineer', 'company': 'Microsoft'}, {'name': 'Alëna Rodionova', 'title': 'PhD Candidate', 'company': 'University of Pennsylvania'}, {'name': 'Duygu Polad-Luecking', 'title': 'Developer', 'company': 'SAP'}, {'name': 'Anais Dawson', 'title': 'Student', 'company': 'Western Washington University'}, {'name': 'Mrs. Zohreh Ovaisi', 'title': 'Graduate Ph.D. student', 'company': 'University of Illinois at chicago'}, {'name': 'Kanishka Annamalai', 'title': 'Data Scientist', 'company': 'Cisco Systems Inc.'}, {'name': 'Zahra Shakeri', 'title': 'AI Scientist', 'company': 'Electronic Arts'}, {'name': 'Naw Safrin Sattar', 'title': 'Graduate Research Assistant', 'company': 'University of New Orleans'}, {'name': 'Faeze Brahman', 'title': 'PhD Student', 'company': 'University of California, University of California, Santa Cruz (UCSC)'}, {'name': 'Shubhi Asthana', 'title': 'Senior Software Engineer Research', 'company': 'IBM Research'}, {'name': 'Kilol Gupta', 'title': 'AI Engineer', 'company': 'Electronic Arts'}, {'name': 'Farzaneh Khoshnevisan', 'title': 'Graduate Student', 'company': 'North Carolina State University'}, {'name': 'Emmie Hine', 'title': 'Student', 'company': 'Williams College'}, {'name': 'Ashwaq Alsoubai', 'title': 'PhD student', 'company': 'University of Central Florida'}, {'name': 'Shalini Choudhury', 'title': 'Ph.D. student', 'company': 'WINLAB, Rutgers, The State University of New Jersey'}, {'name': 'Fahimeh Ebrahimi Meymand', 'title': 'P.hD. student', 'company': 'Louisiana State University'}, {'name': 'Mina Chookhachizadeh Moghadam', 'title': 'Ph.D. student', 'company': 'University of California, Irvine (UCI)'}, {'name': 'Samaneh Karimi', 'title': 'PhD Candidate', 'company': 'University of Tehran'}, {'name': 'Narayani V', 'title': 'Developer', 'company': 'SAP'}, {'name': 'Elnaz Mirzaei Mehrabad', 'title': 'PhD. Student/ Research Assistant', 'company': 'University of Utah'}, {'name': 'SAMEERA KHANUM', 'title': 'Quality Engineer', 'company': 'SAP Labs India'}, {'name': 'Anahita Havewala', 'title': 'Software Developer', 'company': 'SAP'}, {'name': 'Yao Weng', 'title': 'Senior Software developer', 'company': 'Bloomberg'}, {'name': 'Ms. Marina Shehzad', 'title': 'Student', 'company': 'Habib Univeristy'}, {'name': 'Mahroo Bahreinian', 'title': 'PhD student', 'company': 'Boston University'}, {'name': 'Serena Xiong', 'title': 'Undergraduate student', 'company': 'University of Michigan - Ann Arbor'}, {'name': 'Sruthi Sangala', 'title': 'Technology Associate', 'company': 'Morgan Stanley'}, {'name': 'Mehak Mehta', 'title': 'Vice President', 'company': 'Morgan Stanley'}, {'name': 'Paidamoyo Chapfuwa', 'title': 'PhD Student', 'company': 'Duke University'}, {'name': 'Neha Goyal', 'title': 'Senior Technology Consultant', 'company': 'SAP'}, {'name': 'Jennifer Mallette', 'title': 'Cognitive Software Engineer', 'company': 'IBM'}, {'name': 'Isha Gupta', 'title': 'Graduate student', 'company': 'Columbia University'}, {'name': 'Mai Dahshan', 'title': 'PhD Candidate', 'company': 'Virginia Polytechnic Institute and State University (Virginia Tech)'}, {'name': 'Chieh-Li Chin', 'title': 'Research Manager', 'company': 'University of Illinois at Urbana-Champaign'}, {'name': 'Teng Wang', 'title': 'Software Engineer', 'company': 'Electronic Arts'}, {'name': 'Ariaki Dandawate', 'title': 'Student', 'company': 'New York University - Computer Science & Engineering'}, {'name': 'Heidi Hartikainen', 'title': 'Post doctoral researcher', 'company': 'University of Central Florida'}, {'name': 'Amulya Kishore', 'title': 'IT Engineer', 'company': 'Cisco Systems Inc.'}, {'name': 'Rinku Harish Nemade', 'title': 'Student', 'company': 'Arizona State University'}, {'name': 'Vrinda Gupta', 'title': 'Recent Graduate', 'company': 'Carnegie Mellon University'}, {'name': 'Bahar Azari', 'title': 'PhD student', 'company': 'Northeastern University'}, {'name': 'Uthira Mohan', 'title': 'Software Developer', 'company': 'Verizon Media'}, {'name': 'Zahra Rajabi', 'title': 'Graduate Research Assistant and Applied Machine Learning Engineer Intern at Adobe', 'company': 'George Mason University'}, {'name': 'Zahra Moghimi', 'title': 'Student', 'company': 'Virginia Tech'}, {'name': 'Ria Ghosh', 'title': 'Research Assistant', 'company': 'University of Texas - Dallas'}, {'name': 'Abeer Khan', 'title': 'Masters', 'company': 'University of Waterloo'}, {'name': 'Maria Apostolaki', 'title': 'PhD Student', 'company': 'ETH Zurich'}, {'name': 'Xueling Zhang', 'title': 'PhD student', 'company': 'University of Texas - San Antonio'}, {'name': 'Miss lan Wei', 'title': 'PhD student', 'company': 'University College Dublin'}, {'name': 'Jessie Micallef', 'title': None, 'company': 'Michigan State University'}, {'name': 'Bita Hasheminezhad', 'title': 'Ph.D. Candidate', 'company': 'Louisiana State University'}, {'name': 'Shweta Rastogi', 'title': 'Software Engineer', 'company': 'Bloomberg'}, {'name': 'Lisa Mirth', 'title': 'Product Designer', 'company': 'Liberty Mutual Insurance'}]"
Keynote,11:00 AM,11:30 AM,,
Professors in a Pandemic – Tips and Tricks for Teaching Online,11:35 AM,12:05 PM,"Wow! What changes we are all living through. With so many classes moving online we’ll discuss practical suggestions and resources to thrive in the online classroom and ways to foster a fun, interactive learning environment. We will also present classroom management techniques and strategies for what to do if things don’t go as planned.",
"Beyond Imagination:  The Secret to Designing Beautiful, Creative Custom Visuals",11:35 AM,12:35 PM,"Charts can feel like a pair of shoes. You always have your go-to favs! But are they the best fit for your data goals? Learn the secrets of turning big data to accurate, compelling visuals that go beyond basic charts. Join us as we step through our creative design process and unravel COVID-19 data to reveal its effect on our communities. Design an intriguing and impactful visual to tell your story!","[{'name': 'Amber Hoak', 'title': 'Software Development Engineer', 'company': 'Microsoft Research'}, {'name': 'Kate Lytvynets', 'title': 'Software Development Engineer', 'company': 'Microsoft Research'}, {'name': 'David Tittsworth', 'title': 'Senior Software Development Engineer', 'company': 'Microsoft Research'}]"
"Seeing Beyond Yourself: Effective Allyship, Advocacy, and Activism for Women in Computing",11:35 AM,12:35 PM,"It is often assumed that women in CS understand and appreciate diversity and advocate for all. However, there exist highly publicized examples of women failing to account for the intersection of race and gender and the differing experiences of women with intersecting identities. This panel convenes diverse women in CS to discuss the importance of same-gender allyship, advocacy, and activism.","[{'name': 'Dr. Alicia Nicki Washington', 'title': 'Professor of the Practice, Computer Science', 'company': 'Duke University'}, {'name': 'Dr. Fay Cobb Payton', 'title': 'Professor and University Faculty Scholar', 'company': 'North Carolina State University (NCSU)'}, {'name': 'Frieda McAlear', 'title': 'Senior Research Associate', 'company': 'Kapor Center for Social Impact'}, {'name': 'Lien Diaz', 'title': 'Director, Ed Innovation and Leadership', 'company': 'Constellations Center for Equity in Computing, Georgia Tech'}, {'name': 'Gail Chapman', 'title': 'Director of Outreach', 'company': 'Exploring Computer Science'}]"
Hack Your Way to a Higher Performing Team,11:35 AM,12:05 PM,"Many organizations want high performing teams yet have vague ideas as to what that actually means. Learn some defining characteristics of high performing teams: caring, collaborating, communicating, and taking ownership.  Walk away with actionable hacks such as ""Did you ask?"" and ""Because Science!"" that can be used in any team and with any framework to maximize team effectiveness.","[{'name': 'Mrs. Ann Rich', 'title': 'Agile Coach', 'company': 'USAA'}]"
"Lessons Learned in Founding A Meaningful, Thriving Business - So You Can Build Yours Faster",11:35 AM,12:05 PM,"Only three women have founded public infrastructure companies worth $1B+. One being Michelle Zatlyn, who co-founded Cloudflare during the last US economic downturn and transformed it into a leading Internet company. She'll share her perspective and lessons learned in creating a diverse workforce and navigating times of crisis while building a thriving companyóso you can build yours faster.","[{'name': 'Michelle Zatlyn', 'title': 'Co-founder & COO', 'company': 'Cloudflare'}]"
Leading Remotely in Retail Technology in the Face of Unprecedented Adversity,11:35 AM,12:05 PM,Covid-19's impact is unprecedented. This talk will shed light on the unique challenges retail technology faces and the rapidly changing business priorities under these circumstances. These challenges required teams to find new ways to lead remotely and increase their agility while still contributing to critical business outcomes.,"[{'name': 'Ms. Joyce Chia-Hsun Chen', 'title': 'Sr Director of Engineering', 'company': 'Nordstrom'}]"
"What You Need to Know About Quantum Computing for Scientists, Engineers, and Developers",11:35 AM,12:35 PM,Many recent advances in the field of quantum computing have captured popular interest in the field. Quantum systems are also now more accessible than ever with devices hosted on the cloud and numerous quantum software packages under development. So how can you get involved in quantum computing now? What are the current hot topics and what are the roadblocks? Quantum experts will discuss!,"[{'name': 'Dr. Kate Timmerman', 'title': 'Executive Director', 'company': 'University of Chicago'}, {'name': 'Dr. Anastasia Marchenkova', 'title': 'Quantum Researcher', 'company': 'Bleximo'}, {'name': 'Dr. Sophia Economou', 'title': 'Associate Professor', 'company': 'Virginia Tech'}, {'name': 'Dr. K. Whaley', 'title': 'Professor of Chemistry Director, Berkeley Quantum Information and Computation Center', 'company': 'University of California, Berkeley'}, {'name': 'Dr. Sarah Sheldon', 'title': 'Research Staff Member, Manager', 'company': 'IBM'}]"
Technical Executive Forum (TEF),11:35 AM,1:35 PM,"As we dive into DEI at a systemic level, we explore the ways in which we can drive change through technology and infrastructure development of corporate policies. At this critical moment in history we have an obligation to re-program our levers for change. Our research has helped us pinpoint building blocks to drive systemic and actionable items leaders can take to lead the charge. During this session we will offer an interactive online experience focused on catalyzing systemic change by transforming DEI values into organizational policies.",
